azi,aoi,wvl,radius,pitch,mm,dmm,abs pillar,abs substrate,reflected flux,E,H,E air,H air,E Ge,H Ge,E CaF2,H CaF2
35,60,6200,500,4000,"[[0.008264365070636758, -0.0021482988973365986, -0.0005295737328731355, 0.0002474780842887035], [-0.0021482975627413856, 0.008145014259230556, 0.0009026468953662864, 0.0008955455571929145], [0.0005294443567829339, -0.0009031570857066405, -0.0009200594960244758, 0.007871528266922074], [0.00024776631740446107, 0.000895034231455602, -0.00787159549089769, -0.0008007087035575853]]","[[ 1.         -0.25994724 -0.06407918  0.0299452 ]
 [-0.25994708  0.98555838  0.10922157  0.10836229]
 [ 0.06406352 -0.1092833  -0.11132852  0.95246618]
 [ 0.02998008  0.10830042 -0.95247432 -0.0968869 ]]","[2.3791719681913174e-19, 3.2447915674254095e-20]","[-1.7963083132551906e-19, -2.4491321179518525e-19]","[0.008511843150291647, 0.00801688698198369]",,,"[2.398522462411122e-25, 2.405849301627931e-25]","[2.385120191232982e-25, 2.391916840669132e-25]","[9.503201819471294e-27, 8.774440048426466e-27]","[8.15945331747119e-27, 7.1757842476896e-27]","[4.66695455351733e-26, 4.605611969638711e-26]","[4.615128964065143e-26, 4.569466166269947e-26]"
36,60,6200,500,4000,"[[0.00889987594414655, -0.001909543359604352, -0.0006098159601590699, 0.0003224993174552667], [-0.0019103632921402677, 0.00869539941109249, 0.0012909416262246245, 0.0012077008616273594], [0.000600891565119957, -0.001302140107701002, -0.00015123117010064832, 0.008586511841842663], [0.0003341834469922249, 0.001194307635269675, -0.008588831644647646, 5.323055931439775e-05]]","[[ 1.         -0.21455842 -0.0685196   0.03623638]
 [-0.21465055  0.97702479  0.14505164  0.13569862]
 [ 0.06751685 -0.14630992 -0.0169925   0.96479006]
 [ 0.03754923  0.13419374 -0.96505072  0.00598105]]","[-3.969296045220258e-20, -1.5017350727432901e-19]","[-1.2267845038754633e-19, -3.098073976767431e-20]","[0.009222375256581192, 0.008577376622021796]",,,"[2.446229432239602e-25, 2.455213252965166e-25]","[2.436571159052969e-25, 2.442190507311286e-25]","[9.655372461702932e-27, 8.578881473205977e-27]","[8.100301862643029e-27, 6.997809002092732e-27]","[4.706539878382203e-26, 4.633579984696998e-26]","[4.654085372171473e-26, 4.598575034090116e-26]"
37,60,6200,500,4000,"[[0.01220538271250601, 0.0007039020946531761, 0.00024855420023383755, -0.00013241845336111843], [0.0007014403992953938, 0.011788746893838693, 0.0022386346767342366, 0.0022141714598319356], [-0.00025931969725972613, -0.0022844315807097632, 0.00011145528887189214, 0.011967989469399792], [-0.00012460600688170677, 0.002167688249624614, -0.011976412102787645, 0.0005279986896110778]]","[[ 1.          0.05767145  0.02036431 -0.01084918]
 [ 0.05746976  0.96586458  0.18341372  0.18140943]
 [-0.02124634 -0.18716591  0.00913165  0.98055012]
 [-0.0102091   0.17760101 -0.98124019  0.04325949]]","[1.4349732216917658e-19, -5.143369101170213e-20]","[-3.974462801078514e-19, -1.43614291333715e-19]","[0.012072964252572418, 0.012337801159150476]",,,"[2.499903413861716e-25, 2.535207394307646e-25]","[2.5184112717063e-25, 2.540543959361682e-25]","[1.177299865887756e-26, 9.39234077070359e-27]","[8.019167521824598e-27, 6.42020196316089e-27]","[4.893404621365881e-26, 4.800821868863993e-26]","[4.828540027493707e-26, 4.7589084454825e-26]"
38,60,6200,500,4000,"[[0.01355350999945974, 0.0008665828375064404, 0.000600816101188698, -0.0003972606964688485], [0.0008642500846361145, 0.013297218205297423, 0.0016037252618812934, 0.001945983796616006], [-0.0006063688386904766, -0.0016543671949345005, -0.002586607661245396, 0.013166931480129831], [-0.00039389146390706006, 0.0019041781539761457, -0.01317294111128665, -0.002330396954302176]]","[[ 1.          0.06393789  0.04432919 -0.02931054]
 [ 0.06376578  0.98109037  0.11832546  0.14357785]
 [-0.04473888 -0.1220619  -0.19084412  0.97147761]
 [-0.02906195  0.14049336 -0.97192101 -0.17194048]]","[1.0393878274191327e-19, -1.0592344762089152e-19]","[-4.394173988897415e-19, 3.933262945635502e-20]","[0.013156249295828681, 0.013950770688333846]",,,"[2.417905819104208e-25, 2.451698896362405e-25]","[2.447782416846252e-25, 2.471875905490819e-25]","[1.257164997369081e-26, 1.063044585795194e-26]","[7.165602969424836e-27, 5.724614976870577e-27]","[4.894727862753805e-26, 4.833623239242001e-26]","[4.825112771656412e-26, 4.782751943319985e-26]"
39,60,6200,500,4000,"[[0.013859005938901606, -0.0001720291509947399, 0.0004960498385700664, -0.0003800680290048724], [-0.00017392015023830198, 0.013713519831753557, 0.001091258910623144, 0.0015590735933391291], [-0.0005028668164651024, -0.0011291258564885298, -0.004418758918449415, 0.013080690115304909], [-0.000370118797210231, 0.0015316582810156764, -0.01308364335686569, -0.004273315080975158]]","[[ 1.         -0.01241281  0.0357926  -0.0274239 ]
 [-0.01254925  0.98950241  0.07874006  0.11249534]
 [-0.03628448 -0.08147236 -0.31883664  0.94384043]
 [-0.02670601  0.11051718 -0.94405352 -0.30834211]]","[-4.955310199378783e-20, -6.598467182477716e-20]","[2.0546269932177193e-19, -8.03165881169674e-20]","[0.013478937902558854, 0.014239073960154782]",,,"[2.382536182052286e-25, 2.407396550354872e-25]","[2.414120680381324e-25, 2.432961905572813e-25]","[1.251268181374309e-26, 1.114916412164729e-26]","[6.432328111748552e-27, 5.283929883810819e-27]","[4.887561971063145e-26, 4.848824206540986e-26]","[4.819910909477083e-26, 4.795340977457562e-26]"
40,60,6200,500,4000,"[[0.013748763138720387, -0.0017459197321198503, 0.00021595593253924942, -0.00026153946938535174], [-0.0017475034423424301, 0.013673956079245882, 0.0007311204730760556, 0.0011863256519556828], [-0.00022948531075586226, -0.0007457826763792421, -0.005622791231185249, 0.012399431549581511], [-0.0002384193385599318, 0.001174811188344088, -0.012400061728231031, -0.005548003592607588]]","[[ 1.         -0.1269874   0.0157073  -0.01902276]
 [-0.12710259  0.994559    0.05317718  0.08628599]
 [-0.01669134 -0.05424362 -0.40896706  0.90185797]
 [-0.01734115  0.0854485  -0.9019038  -0.40352747]]","[-1.594468701793097e-19, 1.455221483394747e-19]","[2.1277182263900966e-19, -4.201150242408626e-19]","[0.013487223661992643, 0.014010302600478586]",,,"[2.366581907947702e-25, 2.382435514594741e-25]","[2.396289481507849e-25, 2.409067116587236e-25]","[1.208090234464172e-26, 1.122526065468035e-26]","[5.776996110047117e-27, 4.921226294126318e-27]","[4.878244288134096e-26, 4.853565048715933e-26]","[4.815885745752793e-26, 4.801175821966349e-26]"
41,60,6200,500,4000,"[[0.013514662646092909, -0.003571573274206926, -0.00012936489603271867, -0.00011044305107582862], [-0.0035733546388738782, 0.013474868006164376, 0.0005346659231918165, 0.0008786158335700161], [0.00010506039374204854, -0.0005235680693609373, -0.0062668449809546774, 0.01141598029030251], [-7.188557150768297e-05, 0.0008780559133881388, -0.011415715459505791, -0.006227091113575337]]","[[ 1.         -0.26427395 -0.00957219 -0.00817209]
 [-0.26440576  0.99705545  0.03956191  0.06501204]
 [ 0.00777381 -0.03874074 -0.4637071   0.84471071]
 [-0.00531908  0.06497061 -0.84469112 -0.46076556]]","[1.2377585933479944e-19, -6.254434406071534e-20]","[-3.413563113605555e-19, -5.588617322054102e-19]","[0.013404219587719876, 0.013625105689751286]",,,"[2.363142496173125e-25, 2.371646551046693e-25]","[2.389343885574729e-25, 2.396746029612084e-25]","[1.145632108795011e-26, 1.097424001667846e-26]","[5.17945496133152e-27, 4.571630574632645e-27]","[4.873330402666772e-26, 4.852680396008441e-26]","[4.818354608184469e-26, 4.803944827995404e-26]"
42,60,6200,500,4000,"[[0.013412366016613077, -0.005355080609871287, -0.000498335267503236, 3.2782806889836765e-05], [-0.005357897317992067, 0.013375381897543701, 0.0005198150420030985, 0.0007080085883850505], [0.0004599534893260912, -0.0004843175356625957, -0.006488589789786334, 0.010432663003806188], [8.763679018946625e-05, 0.0007118602614574341, -0.010432717477960296, -0.006451713127094778]]","[[ 1.         -0.39926443 -0.03715491  0.00244422]
 [-0.39947443  0.99724254  0.0387564   0.05278775]
 [ 0.03429324 -0.03610978 -0.48377667  0.77783912]
 [ 0.00653403  0.05307492 -0.77784318 -0.48102722]]","[-1.9307739839144175e-19, 2.0904007958150964e-19]","[2.3196552222622027e-19, -2.5454552723389294e-20]","[0.013445148816183432, 0.013379583202439451]",,,"[2.369570975596121e-25, 2.372811231626902e-25]","[2.392641608824138e-25, 2.395446555315748e-25]","[1.088202631676313e-26, 1.056804172755493e-26]","[4.63032310518402e-27, 4.20534636466298e-27]","[4.902629340529104e-26, 4.86269112916834e-26]","[4.856193884519291e-26, 4.819094320117007e-26]"
43,60,6200,500,4000,"[[0.013292380183161787, -0.0073702151406425075, -0.0009897245300956614, 0.00031916495502466486], [-0.0073739605787790105, 0.013235253406876119, 0.0005945341221418748, 0.000368469606802411], [0.0009382084912746185, -0.0005460298987998882, -0.0054358972376599085, 0.009608276981055704], [0.0003820501836910102, 0.0003686036151665814, -0.009610566260374598, -0.005378939363207306]]","[[ 1.         -0.55446918 -0.07445804  0.02401112]
 [-0.55475095  0.99570229  0.04472744  0.02772036]
 [ 0.07058243 -0.04107841 -0.40894837  0.72284097]
 [ 0.02874204  0.02773044 -0.72301319 -0.40466337]]","[1.5629008287881118e-19, 4.604823504348993e-20]","[2.904881694210348e-19, -1.7912904278247256e-19]","[0.013611545130776379, 0.012973215221074554]",,,"[2.381220096568528e-25, 2.379439985499635e-25]","[2.397675368813908e-25, 2.396545801889639e-25]","[9.773864413619908e-27, 9.70423398660561e-27]","[4.045245563261211e-27, 3.846686116930912e-27]","[4.859704088569358e-26, 4.83408748251612e-26]","[4.820111051741379e-26, 4.796429304807561e-26]"
44,60,6200,500,4000,"[[0.013262985224960229, -0.009432840841223217, -0.001158734051085387, 0.00046599276583345246], [-0.009436591995277124, 0.013189543703433162, 0.0006697111950315355, 7.189699934639514e-05], [0.001097606154682451, -0.0006157647351209334, -0.004226201556563031, 0.008266394035357444], [0.0005331908088831982, 6.110568523044497e-05, -0.00827054102235211, -0.0041529732257999975]]","[[ 1.         -0.71121551 -0.08736601  0.03513483]
 [-0.71149834  0.99446267  0.05049476  0.00542088]
 [ 0.0827571  -0.04642731 -0.31864633  0.62326798]
 [ 0.04020142  0.00460723 -0.62358066 -0.31312507]]","[3.1117447126593754e-19, 2.762743851487139e-19]","[-1.9205700093609237e-19, 3.161204765019558e-19]","[0.013728977983319679, 0.012796992452160144]",,,"[2.395463819079218e-25, 2.390414972792609e-25]","[2.403641418298344e-25, 2.40075652832701e-25]","[8.472035687544236e-27, 8.655915799163575e-27]","[3.5359045406042e-27, 3.466788065175655e-27]","[4.790161969704868e-26, 4.788162641426527e-26]","[4.757685403749607e-26, 4.756821832723027e-26]"
45,60,6200,500,4000,"[[0.013560832432262634, -0.011260269911060473, -0.0012107926250029379, 0.0005569411483080835], [-0.01126361958388931, 0.013474385216678002, 0.0007897664677059832, -0.00011239952029846399], [0.0011451512222443855, -0.0007364815574463367, -0.0027768635991676153, 0.006955881709136456], [0.0006240058020495446, -0.00013605873943485814, -0.006961150179488919, -0.002690642116958013]]","[[ 1.         -0.83035241 -0.08928601  0.04106983]
 [-0.83059942  0.99362523  0.05823879 -0.00828854]
 [ 0.0844455  -0.05430947 -0.20477088  0.51293914]
 [ 0.0460153  -0.01003321 -0.51332765 -0.19841275]]","[6.565444161018917e-20, -8.736519007099171e-21]","[2.9379865830124665e-19, 9.705400123012652e-20]","[0.014117773572885059, 0.013003891276875281]",,,"[2.41300352957849e-25, 2.406163741051326e-25]","[2.41369876453551e-25, 2.409889206912816e-25]","[7.259586493195023e-27, 7.58674466253921e-27]","[3.068356960601083e-27, 3.071941992643816e-27]","[4.735789436122039e-26, 4.746879590229863e-26]","[4.709744814901668e-26, 4.721508505412639e-26]"
35,60,6300,500,4000,"[[0.009530369224870036, -0.0012502867113593679, -0.00039446982754401123, 0.00021522137069202355], [-0.001250275938730473, 0.009205093994568862, 0.0018730851715535349, 0.0015439496211760778], [0.0003944072340817226, -0.0018739917062474062, 0.0014034635641160251, 0.009150781179435642], [0.00021539859466258957, 0.0015428579050492247, -0.00915096948020539, 0.0017287387397354542]]","[[ 1.         -0.13118975 -0.04139082  0.02258269]
 [-0.13118861  0.96586961  0.19653857  0.16200313]
 [ 0.04138426 -0.19663369  0.14726224  0.96017069]
 [ 0.02260129  0.16188858 -0.96019045  0.18139263]]","[1.4526869365176795e-19, 2.9549842066854197e-20]","[-9.479324408870371e-19, -1.3672196772125432e-20]","[0.0097455905902566, 0.00931514784910688]",,,"[2.504729830286267e-25, 2.522897024329761e-25]","[2.495778523387928e-25, 2.506431902526618e-25]","[9.958643207764423e-27, 8.406435226197612e-27]","[8.45891485686943e-27, 7.24286050623307e-27]","[4.76516167068969e-26, 4.682550082631654e-26]","[4.710678182000909e-26, 4.64844395261368e-26]"
36,60,6300,500,4000,"[[0.01284221970606431, 0.0016124370825660568, 0.0008446592875958987, -0.0005635926226972922], [0.0016117436679049567, 0.012486377061352926, 0.0019999062950754043, 0.001995005769610819], [-0.0008438114032599921, -0.0020182871405744853, -0.000600794471686992, 0.012552655033193779], [-0.000566836807566023, 0.001976973930596144, -0.012555653619104887, -0.00024496513695778125]]","[[ 1.          0.12555751  0.06577206 -0.04388592]
 [ 0.12550351  0.97229119  0.15572902  0.15534743]
 [-0.06570604 -0.1571603  -0.04678276  0.97745213]
 [-0.04413854  0.15394332 -0.97768563 -0.01907498]]","[1.6129604434390932e-19, -5.797450235033678e-20]","[1.2636610593594152e-19, -1.32088778028433e-19]","[0.012278627076682586, 0.01340581232146353]",,,"[2.435163664592224e-25, 2.478443663240113e-25]","[2.457760835789044e-25, 2.489488225540256e-25]","[1.245478436134837e-26, 1.022383743530053e-26]","[7.966515868311927e-27, 6.394874166529319e-27]","[4.880550072402903e-26, 4.814160608692033e-26]","[4.809576771575088e-26, 4.76560912508276e-26]"
37,60,6300,500,4000,"[[0.01356974615182389, 0.0014240854437577591, 0.0009873578196592148, -0.0006581131090788897], [0.0014229025449674715, 0.01333476735409362, 0.0014434011311660856, 0.0016814361078123859], [-0.000985433876149957, -0.0014717670826743798, -0.0026692578273746007, 0.013129434381383396], [-0.0006635330457238572, 0.0016576801751576728, -0.013132727600731805, -0.002434305085659297]]","[[ 1.          0.10494562  0.0727617  -0.04849856]
 [ 0.10485845  0.98268363  0.10636906  0.12391065]
 [-0.07261992 -0.10845944 -0.19670654  0.96755195]
 [-0.04889797  0.12216    -0.96779464 -0.17939209]]","[-9.568641056766865e-20, 9.760918780021239e-20]","[-3.2666178921715496e-19, 7.199320307631904e-20]","[0.01291163303571596, 0.014227859253157194]",,,"[2.384649529363032e-25, 2.420489150154762e-25]","[2.412747038242223e-25, 2.440813152053822e-25]","[1.280779936782992e-26, 1.108950698487643e-26]","[7.296000509182363e-27, 5.922044648841046e-27]","[4.87604699338851e-26, 4.837370434083358e-26]","[4.802734034050888e-26, 4.782756702411154e-26]"
38,60,6300,500,4000,"[[0.013696101876586882, 0.00042807817616575487, 0.0008359359622902116, -0.0005757531884806154], [0.00042713434574336625, 0.013559962167574137, 0.0009649662351537218, 0.0013222650831533687], [-0.0008344176178355328, -0.0009896275733728569, -0.004232634359341379, 0.012968090508202775], [-0.0005786493599211164, 0.0013042197770043475, -0.012970046665298768, -0.00409651197689226]]","[[ 1.          0.03125548  0.06103459 -0.04203774]
 [ 0.03118656  0.99005997  0.07045554  0.09654317]
 [-0.06092373 -0.07225615 -0.30903935  0.94684536]
 [-0.0422492   0.09522562 -0.94698819 -0.29910058]]","[-1.4945881693778877e-19, 3.047607102667579e-19]","[2.1226313821534502e-19, 2.0471815720385034e-19]","[0.013120348680963598, 0.014271855057297955]",,,"[2.358800409272878e-25, 2.384549613518932e-25]","[2.387193755317367e-25, 2.408733198656696e-25]","[1.264078126001203e-26, 1.147762075921435e-26]","[6.675061843104862e-27, 5.571921534418151e-27]","[4.864766594621155e-26, 4.848558871396521e-26]","[4.793286201013769e-26, 4.791947889289795e-26]"
